==== 站點統計 ====
站點,OK數量,NG數量,瑕疵類型,瑕疵數量

==== 樣品統計 ====
樣品ID,結果,瑕疵類型,瑕疵分數
dirty,0.00,1.00,0.00,1.00,1.00
dirty,0.05,1.00,0.00,1.00,1.00
dirty,0.10,1.00,0.00,1.00,1.00
dirty,0.15,1.00,0.00,1.00,1.00
dirty,0.20,1.00,0.00,1.00,1.00
dirty,0.25,1.00,0.00,1.00,1.00
dirty,0.30,1.00,0.00,1.00,1.00
dirty,0.35,1.00,0.00,1.00,1.00
dirty,0.40,1.00,0.00,1.00,1.00
dirty,0.45,1.00,0.00,1.00,1.00
dirty,0.50,1.00,0.00,1.00,1.00
dirty,0.55,0.95,0.00,0.95,0.97
dirty,0.60,0.93,0.00,0.93,0.96
dirty,0.65,0.83,0.00,0.83,0.90
dirty,0.70,0.80,0.00,0.80,0.89
dirty,0.75,0.75,0.00,0.75,0.86
dirty,0.80,0.45,0.00,0.45,0.62
dirty,0.85,0.23,0.00,0.23,0.37
dirty,0.90,0.03,0.00,0.03,0.05
dirty,0.95,0.00,0.00,0.00,0.00
outsc,0.00,1.00,0.00,1.00,1.00
outsc,0.05,1.00,0.00,1.00,1.00
outsc,0.10,1.00,0.00,1.00,1.00
outsc,0.15,1.00,0.00,1.00,1.00
outsc,0.20,1.00,0.00,1.00,1.00
outsc,0.25,1.00,0.00,1.00,1.00
outsc,0.30,1.00,0.00,1.00,1.00
outsc,0.35,1.00,0.00,1.00,1.00
outsc,0.40,1.00,0.00,1.00,1.00
outsc,0.45,1.00,0.00,1.00,1.00
outsc,0.50,1.00,0.00,1.00,1.00
outsc,0.55,0.90,0.00,0.90,0.95
outsc,0.60,0.86,0.00,0.86,0.92
outsc,0.65,0.81,0.00,0.81,0.89
outsc,0.70,0.76,0.00,0.76,0.86
outsc,0.75,0.71,0.00,0.71,0.83
outsc,0.80,0.43,0.00,0.43,0.60
outsc,0.85,0.33,0.00,0.33,0.50
outsc,0.90,0.00,0.00,0.00,0.00
outsc,0.95,0.00,0.00,0.00,0.00

==== 混淆矩陣（使用推薦閾值）====
瑕疵類型,閾值,真陽性(TP),假陽性(FP),真陰性(TN),假陰性(FN),準確率,靈敏度,特異度
bp,0.00,16,0,0,0,1.00,1.00,0.00
dirty,0.00,40,0,0,0,1.00,1.00,0.00
outsc,0.00,21,0,0,0,1.00,1.00,0.00
wr,0.00,2,0,0,0,1.00,1.00,0.00
